accession,filename,size_bp,size_kb,size_mb
PQ550128,PQ550128.fasta,151555,151.56,0.152
PQ550994,PQ550994.fasta,139336,139.34,0.139
PQ551007,PQ551007.fasta,157073,157.07,0.157
PQ551008,PQ551008.fasta,157245,157.25,0.157
PQ551010,PQ551010.fasta,156019,156.02,0.156
PQ551012,PQ551012.fasta,153801,153.8,0.154
PQ551014,PQ551014.fasta,164023,164.02,0.164
PQ551017,PQ551017.fasta,159932,159.93,0.16
PQ551018,PQ551018.fasta,157963,157.96,0.158
PQ551022,PQ551022.fasta,156303,156.3,0.156
PQ551023,PQ551023.fasta,156046,156.05,0.156
PQ551024,PQ551024.fasta,154472,154.47,0.154
PQ551025,PQ551025.fasta,155330,155.33,0.155
PQ551026,PQ551026.fasta,146817,146.82,0.147
PQ551027,PQ551027.fasta,155646,155.65,0.156
PQ551028,PQ551028.fasta,154688,154.69,0.155
PQ551029,PQ551029.fasta,155868,155.87,0.156
PQ551030,PQ551030.fasta,155672,155.67,0.156
PQ551033,PQ551033.fasta,153991,153.99,0.154
PQ551034,PQ551034.fasta,159945,159.94,0.16
PQ551036,PQ551036.fasta,165871,165.87,0.166
PQ551037,PQ551037.fasta,161035,161.03,0.161
PQ551038,PQ551038.fasta,161114,161.11,0.161
PQ551046,PQ551046.fasta,161485,161.49,0.161
PQ551048,PQ551048.fasta,163885,163.88,0.164
PQ551050,PQ551050.fasta,146033,146.03,0.146
PQ551053,PQ551053.fasta,172483,172.48,0.172
PQ551054,PQ551054.fasta,161616,161.62,0.162
PQ551055,PQ551055.fasta,158935,158.94,0.159
PQ551056,PQ551056.fasta,159707,159.71,0.16
PQ551058,PQ551058.fasta,157227,157.23,0.157
PQ551059,PQ551059.fasta,155527,155.53,0.156
PQ551060,PQ551060.fasta,155879,155.88,0.156
PQ551061,PQ551061.fasta,168236,168.24,0.168
PQ551063,PQ551063.fasta,156981,156.98,0.157
PQ551064,PQ551064.fasta,155630,155.63,0.156
PQ553215,PQ553215.fasta,163621,163.62,0.164
PQ553216,PQ553216.fasta,164006,164.01,0.164
PQ557619,PQ557619.fasta,155805,155.81,0.156
PQ559726,PQ559726.fasta,154386,154.39,0.154
PQ559727,PQ559727.fasta,154477,154.48,0.154
PQ559728,PQ559728.fasta,154388,154.39,0.154
PQ560536,PQ560536.fasta,153111,153.11,0.153
PQ563254,PQ563254.fasta,147493,147.49,0.147
PQ564432,PQ564432.fasta,152468,152.47,0.152
PQ568378,PQ568378.fasta,152999,153.0,0.153
PQ568881,PQ568881.fasta,163070,163.07,0.163
PQ568954,PQ568954.fasta,158979,158.98,0.159
PQ568955,PQ568955.fasta,157780,157.78,0.158
PQ571141,PQ571141.fasta,156635,156.63,0.157
PQ571142,PQ571142.fasta,155459,155.46,0.155
PQ571143,PQ571143.fasta,157937,157.94,0.158
PQ571144,PQ571144.fasta,156281,156.28,0.156
PQ571145,PQ571145.fasta,158724,158.72,0.159
PQ571146,PQ571146.fasta,158785,158.78,0.159
PQ571147,PQ571147.fasta,158123,158.12,0.158
PQ571148,PQ571148.fasta,158622,158.62,0.159
PQ571149,PQ571149.fasta,158275,158.28,0.158
PQ571150,PQ571150.fasta,150365,150.37,0.15
PQ571151,PQ571151.fasta,153831,153.83,0.154
PQ571152,PQ571152.fasta,154344,154.34,0.154
PQ571153,PQ571153.fasta,151687,151.69,0.152
PQ571154,PQ571154.fasta,152211,152.21,0.152
PQ571155,PQ571155.fasta,143062,143.06,0.143
PQ571156,PQ571156.fasta,145664,145.66,0.146
PQ571157,PQ571157.fasta,144232,144.23,0.144
PQ571158,PQ571158.fasta,158056,158.06,0.158
PQ571250,PQ571250.fasta,158204,158.2,0.158
PQ571326,PQ571326.fasta,147567,147.57,0.148
PQ571327,PQ571327.fasta,147547,147.55,0.148
PQ571329,PQ571329.fasta,147564,147.56,0.148
PQ572742,PQ572742.fasta,153011,153.01,0.153
PQ572754,PQ572754.fasta,169711,169.71,0.17
PQ573026,PQ573026.fasta,151464,151.46,0.151
PQ576418,PQ576418.fasta,174770,174.77,0.175
PQ576483,PQ576483.fasta,152442,152.44,0.152
PQ576484,PQ576484.fasta,149666,149.67,0.15
PQ576485,PQ576485.fasta,160010,160.01,0.16
PQ576487,PQ576487.fasta,159118,159.12,0.159
PQ576488,PQ576488.fasta,158417,158.42,0.158
PQ576490,PQ576490.fasta,150641,150.64,0.151
PQ576492,PQ576492.fasta,155949,155.95,0.156
PQ576493,PQ576493.fasta,146312,146.31,0.146
PQ576494,PQ576494.fasta,159614,159.61,0.16
PQ576496,PQ576496.fasta,159825,159.82,0.16
PQ576718,PQ576718.fasta,152747,152.75,0.153
PQ576719,PQ576719.fasta,150481,150.48,0.15
PQ576733,PQ576733.fasta,125696,125.7,0.126
PQ576946,PQ576946.fasta,139748,139.75,0.14
PQ576947,PQ576947.fasta,139724,139.72,0.14
PQ576948,PQ576948.fasta,139670,139.67,0.14
PQ576950,PQ576950.fasta,139759,139.76,0.14
PQ576951,PQ576951.fasta,139667,139.67,0.14
PQ576952,PQ576952.fasta,139667,139.67,0.14
PQ576953,PQ576953.fasta,139528,139.53,0.14
PQ580665,PQ580665.1.fasta,157001,157.0,0.157
PQ580703,PQ580703.fasta,150119,150.12,0.15
PQ580730,PQ580730.fasta,146814,146.81,0.147
PQ580731,PQ580731.fasta,146781,146.78,0.147
PQ580732,PQ580732.fasta,146478,146.48,0.146
PQ580733,PQ580733.fasta,147617,147.62,0.148
PQ580734,PQ580734.fasta,146286,146.29,0.146
PQ580735,PQ580735.fasta,146519,146.52,0.147
PQ584724,PQ584724.fasta,160518,160.52,0.161
PQ584746,PQ584746.fasta,156433,156.43,0.156
PQ584750,PQ584750.fasta,167964,167.96,0.168
PQ585758,PQ585758.fasta,145686,145.69,0.146
PQ585759,PQ585759.fasta,146674,146.67,0.147
PQ585762,PQ585762.fasta,146538,146.54,0.147
PQ585763,PQ585763.fasta,147576,147.58,0.148
PQ585765,PQ585765.fasta,146049,146.05,0.146
PQ585767,PQ585767.fasta,146063,146.06,0.146
PQ585768,PQ585768.fasta,147535,147.53,0.148
PQ585769,PQ585769.fasta,147556,147.56,0.148
PQ585772,PQ585772.fasta,146504,146.5,0.147
PQ585773,PQ585773.fasta,147335,147.34,0.147
PQ585775,PQ585775.fasta,147564,147.56,0.148
PQ585780,PQ585780.fasta,147288,147.29,0.147
PQ585782,PQ585782.fasta,147650,147.65,0.148
PQ585784,PQ585784.fasta,146060,146.06,0.146
PQ585786,PQ585786.fasta,147686,147.69,0.148
PQ585797,PQ585797.fasta,137546,137.55,0.138
PQ586133,PQ586133.fasta,159192,159.19,0.159
PQ586134,PQ586134.fasta,159215,159.22,0.159
PQ586176,PQ586176.fasta,159212,159.21,0.159
PQ586177,PQ586177.fasta,159210,159.21,0.159
PQ586435,PQ586435.fasta,152497,152.5,0.152
PQ586436,PQ586436.fasta,152533,152.53,0.153
PQ586437,PQ586437.fasta,152542,152.54,0.153
PQ586439,PQ586439.fasta,152541,152.54,0.153
PQ586441,PQ586441.fasta,152544,152.54,0.153
PQ586444,PQ586444.fasta,152550,152.55,0.153
PQ586445,PQ586445.fasta,152558,152.56,0.153
PQ586446,PQ586446.fasta,152522,152.52,0.153
PQ586980,PQ586980.fasta,156398,156.4,0.156
PQ586981,PQ586981.fasta,156970,156.97,0.157
PQ586982,PQ586982.fasta,156897,156.9,0.157
PQ586983,PQ586983.fasta,153672,153.67,0.154
PQ591706,PQ591706.fasta,156378,156.38,0.156
PQ591737,PQ591737.1.fasta,163399,163.4,0.163
PQ591738,PQ591738.1.fasta,162110,162.11,0.162
PQ591739,PQ591739.1.fasta,158643,158.64,0.159
PQ591740,PQ591740.1.fasta,164439,164.44,0.164
PQ591741,PQ591741.1.fasta,162126,162.13,0.162
PQ591742,PQ591742.1.fasta,160902,160.9,0.161
PQ591760,PQ591760.fasta,152730,152.73,0.153
PQ591845,PQ591845.fasta,152261,152.26,0.152
PQ593568,PQ593568.fasta,155445,155.44,0.155
PQ593891,PQ593891.fasta,157706,157.71,0.158
PQ594794,PQ594794.fasta,159247,159.25,0.159
PQ594802,PQ594802.fasta,159272,159.27,0.159
PQ594809,PQ594809.fasta,159135,159.13,0.159
PQ594813,PQ594813.fasta,159330,159.33,0.159
PQ594815,PQ594815.fasta,159332,159.33,0.159
PQ594816,PQ594816.fasta,159235,159.24,0.159
PQ594818,PQ594818.fasta,159519,159.52,0.16
PQ594819,PQ594819.fasta,159220,159.22,0.159
PQ595655,PQ595655.fasta,160586,160.59,0.161
PQ604654,PQ604654.fasta,152976,152.98,0.153
PQ605430,PQ605430.fasta,159192,159.19,0.159
PQ605431,PQ605431.fasta,158978,158.98,0.159
PQ611764,PQ611764.fasta,151084,151.08,0.151
PQ611765,PQ611765.fasta,156323,156.32,0.156
PQ611766,PQ611766.fasta,151115,151.12,0.151
PQ611768,PQ611768.fasta,154837,154.84,0.155
PQ611769,PQ611769.fasta,152040,152.04,0.152
PQ611770,PQ611770.fasta,151840,151.84,0.152
PQ612860,PQ612860.fasta,152628,152.63,0.153
PQ612861,PQ612861.fasta,152590,152.59,0.153
PQ612862,PQ612862.fasta,152088,152.09,0.152
PQ612863,PQ612863.fasta,152222,152.22,0.152
PQ612864,PQ612864.fasta,152184,152.18,0.152
PQ612865,PQ612865.fasta,152222,152.22,0.152
PQ612866,PQ612866.fasta,152390,152.39,0.152
PQ619425,PQ619425.fasta,168614,168.61,0.169
PQ625802,PQ625802.fasta,157611,157.61,0.158
PQ631126,PQ631126.fasta,152592,152.59,0.153
PQ631129,PQ631129.fasta,144713,144.71,0.145
PQ632084,PQ632084.fasta,136163,136.16,0.136
PQ632085,PQ632085.fasta,136911,136.91,0.137
PQ632088,PQ632088.fasta,135675,135.68,0.136
PQ632090,PQ632090.fasta,135899,135.9,0.136
PQ632091,PQ632091.fasta,135897,135.9,0.136
PQ632093,PQ632093.fasta,135898,135.9,0.136
PQ632094,PQ632094.fasta,135899,135.9,0.136
PQ632122,PQ632122.fasta,141071,141.07,0.141
PQ632123,PQ632123.fasta,140936,140.94,0.141
PQ632124,PQ632124.fasta,140925,140.93,0.141
PQ632541,PQ632541.fasta,152143,152.14,0.152
PQ632542,PQ632542.fasta,151996,152.0,0.152
PQ634275,PQ634275.fasta,155264,155.26,0.155
PQ634728,PQ634728.fasta,151965,151.97,0.152
PQ636466,PQ636466.fasta,148318,148.32,0.148
PQ636498,PQ636498.fasta,159637,159.64,0.16
PQ636880,PQ636880.fasta,153547,153.55,0.154
PQ636881,PQ636881.fasta,153294,153.29,0.153
PQ636882,PQ636882.fasta,139067,139.07,0.139
PQ638732,PQ638732.fasta,151641,151.64,0.152
PQ638941,PQ638941.fasta,151525,151.53,0.152
PQ638943,PQ638943.fasta,151110,151.11,0.151
PQ638954,PQ638954.fasta,168150,168.15,0.168
PQ639274,PQ639274.fasta,153360,153.36,0.153
PQ639279,PQ639279.fasta,152654,152.65,0.153
PQ639294,PQ639294.fasta,151167,151.17,0.151
PQ639295,PQ639295.fasta,151422,151.42,0.151
PQ639296,PQ639296.fasta,155021,155.02,0.155
PQ639297,PQ639297.fasta,151151,151.15,0.151
PQ639298,PQ639298.fasta,151346,151.35,0.151
PQ639299,PQ639299.fasta,151170,151.17,0.151
PQ639300,PQ639300.fasta,151622,151.62,0.152
PQ639301,PQ639301.fasta,151394,151.39,0.151
PQ639302,PQ639302.fasta,151483,151.48,0.151
PQ639303,PQ639303.fasta,151095,151.09,0.151
PQ639304,PQ639304.fasta,151156,151.16,0.151
PQ643224,PQ643224.fasta,152345,152.34,0.152
PQ645259,PQ645259.fasta,160992,160.99,0.161
PQ645260,PQ645260.fasta,157871,157.87,0.158
PQ647014,PQ647014.fasta,152248,152.25,0.152
PQ647015,PQ647015.fasta,152112,152.11,0.152
PQ647016,PQ647016.fasta,151655,151.66,0.152
PQ647017,PQ647017.fasta,150810,150.81,0.151
PQ647018,PQ647018.fasta,152306,152.31,0.152
PQ647019,PQ647019.fasta,152004,152.0,0.152
PQ649850,PQ649850.fasta,151996,152.0,0.152
PQ651946,PQ651946.fasta,174361,174.36,0.174
PQ652174,PQ652174.fasta,152130,152.13,0.152
PQ652319,PQ652319.fasta,149015,149.01,0.149
PQ652320,PQ652320.fasta,148975,148.97,0.149
PQ652344,PQ652344.fasta,151734,151.73,0.152
PQ653532,PQ653532.fasta,152976,152.98,0.153
PQ653534,PQ653534.fasta,152946,152.95,0.153
PQ658189,PQ658189.fasta,156640,156.64,0.157
PQ658191,PQ658191.fasta,157067,157.07,0.157
PQ663261,PQ663261.fasta,152827,152.83,0.153
PQ663624,PQ663624.fasta,163518,163.52,0.164
PQ663625,PQ663625.fasta,161495,161.5,0.161
PQ663722,PQ663722.fasta,152588,152.59,0.153
PQ675781,PQ675781.fasta,169473,169.47,0.169
PQ675782,PQ675782.fasta,169371,169.37,0.169
PQ675783,PQ675783.fasta,169020,169.02,0.169
PQ675795,PQ675795.fasta,159136,159.14,0.159
PQ675796,PQ675796.fasta,155970,155.97,0.156
PQ675797,PQ675797.fasta,159513,159.51,0.16
PQ675798,PQ675798.fasta,159639,159.64,0.16
PQ675799,PQ675799.fasta,159635,159.63,0.16
PQ676994,PQ676994.fasta,155888,155.89,0.156
PQ677098,PQ677098.fasta,155066,155.07,0.155
PQ679323,PQ679323.fasta,152414,152.41,0.152
PQ679356,PQ679356.fasta,159053,159.05,0.159
PQ685807,PQ685807.fasta,160494,160.49,0.16
PQ720777,PQ720777.fasta,138144,138.14,0.138
PQ722560,PQ722560.fasta,155035,155.03,0.155
PQ722561,PQ722561.fasta,150292,150.29,0.15
PQ723554,PQ723554.fasta,135898,135.9,0.136
PQ723555,PQ723555.fasta,135891,135.89,0.136
PQ723622,PQ723622.fasta,159575,159.57,0.16
PQ723623,PQ723623.fasta,158056,158.06,0.158
PQ723626,PQ723626.fasta,160096,160.1,0.16
PQ723627,PQ723627.fasta,159244,159.24,0.159
PQ723628,PQ723628.fasta,157476,157.48,0.157
PQ726385,PQ726385.fasta,159301,159.3,0.159
PQ726417,PQ726417.fasta,155504,155.5,0.156
PQ728875,PQ728875.fasta,158415,158.41,0.158
PQ728876,PQ728876.fasta,158381,158.38,0.158
PQ728877,PQ728877.fasta,157566,157.57,0.158
PQ728879,PQ728879.fasta,157735,157.74,0.158
PQ728880,PQ728880.fasta,157449,157.45,0.157
PQ728881,PQ728881.fasta,157957,157.96,0.158
PQ728882,PQ728882.fasta,158639,158.64,0.159
PQ728883,PQ728883.fasta,158510,158.51,0.159
PQ728884,PQ728884.fasta,157705,157.71,0.158
PQ728886,PQ728886.fasta,157614,157.61,0.158
PQ728887,PQ728887.fasta,157781,157.78,0.158
PQ728888,PQ728888.fasta,158297,158.3,0.158
PQ728889,PQ728889.fasta,159218,159.22,0.159
PQ728890,PQ728890.fasta,158198,158.2,0.158
PQ728891,PQ728891.fasta,158075,158.07,0.158
PQ728892,PQ728892.fasta,157557,157.56,0.158
PQ728893,PQ728893.fasta,159027,159.03,0.159
PQ728894,PQ728894.fasta,158015,158.01,0.158
PQ728895,PQ728895.fasta,158082,158.08,0.158
PQ728896,PQ728896.fasta,158902,158.9,0.159
PQ736584,PQ736584.fasta,122570,122.57,0.123
PQ740019,PQ740019.fasta,152104,152.1,0.152
PQ740947,PQ740947.fasta,154775,154.78,0.155
PQ742995,PQ742995.fasta,159747,159.75,0.16
PQ742996,PQ742996.fasta,159822,159.82,0.16
PQ759906,PQ759906.fasta,149087,149.09,0.149
PQ760267,PQ760267.fasta,153309,153.31,0.153
PQ762215,PQ762215.fasta,153119,153.12,0.153
PQ763538,PQ763538.fasta,157380,157.38,0.157
PQ766598,PQ766598.fasta,153353,153.35,0.153
PQ766620,PQ766620.fasta,170741,170.74,0.171
PQ768873,PQ768873.fasta,159632,159.63,0.16
PQ768875,PQ768875.fasta,159133,159.13,0.159
PQ772791,PQ772791.fasta,168219,168.22,0.168
PQ773890,PQ773890.fasta,152115,152.12,0.152
PQ774309,PQ774309.fasta,155181,155.18,0.155
PQ776919,PQ776919.fasta,155108,155.11,0.155
PQ777069,PQ777069.fasta,159152,159.15,0.159
PQ777070,PQ777070.fasta,159569,159.57,0.16
PQ777072,PQ777072.fasta,159773,159.77,0.16
PQ777076,PQ777076.fasta,159801,159.8,0.16
PQ777077,PQ777077.fasta,159723,159.72,0.16
PQ777078,PQ777078.fasta,159467,159.47,0.159
PQ777079,PQ777079.fasta,159841,159.84,0.16
PQ777083,PQ777083.fasta,159694,159.69,0.16
PQ777086,PQ777086.fasta,159793,159.79,0.16
PQ777087,PQ777087.fasta,159795,159.79,0.16
PQ777088,PQ777088.fasta,159825,159.82,0.16
PQ777089,PQ777089.fasta,159825,159.82,0.16
PQ777090,PQ777090.fasta,159679,159.68,0.16
PQ777091,PQ777091.fasta,159660,159.66,0.16
PQ777150,PQ777150.1.fasta,94778,94.78,0.095
PQ777151,PQ777151.1.fasta,89239,89.24,0.089
PQ783041,PQ783041.fasta,151357,151.36,0.151
PQ783626,PQ783626.fasta,153167,153.17,0.153
PQ784118,PQ784118.fasta,153931,153.93,0.154
PQ788851,PQ788851.fasta,151305,151.31,0.151
PQ788856,PQ788856.fasta,150960,150.96,0.151
PQ789229,PQ789229.fasta,151018,151.02,0.151
PQ790014,PQ790014.fasta,160299,160.3,0.16
PQ790046,PQ790046.fasta,164306,164.31,0.164
PQ790067,PQ790067.fasta,158474,158.47,0.158
PQ790176,PQ790176.fasta,127115,127.11,0.127
PQ801841,PQ801841.fasta,132335,132.34,0.132
PQ821705,PQ821705.fasta,159687,159.69,0.16
PQ821839,PQ821839.1.fasta,124918,124.92,0.125
PQ821862,PQ821862.1.fasta,103161,103.16,0.103
PQ824055,PQ824055.fasta,133617,133.62,0.134
PQ824056,PQ824056.fasta,133326,133.33,0.133
PQ824058,PQ824058.fasta,133610,133.61,0.134
PQ824630,PQ824630.fasta,154936,154.94,0.155
PQ824871,PQ824871.fasta,152871,152.87,0.153
PQ824937,PQ824937.fasta,130529,130.53,0.131
PQ824997,PQ824997.fasta,155936,155.94,0.156
PQ826491,PQ826491.fasta,160864,160.86,0.161
PQ826992,PQ826992.fasta,155570,155.57,0.156
PQ826993,PQ826993.fasta,155416,155.42,0.155
PQ826994,PQ826994.fasta,156100,156.1,0.156
PQ826995,PQ826995.fasta,155397,155.4,0.155
PQ826996,PQ826996.fasta,155351,155.35,0.155
PQ834328,PQ834328.fasta,159665,159.66,0.16
PQ834329,PQ834329.fasta,159716,159.72,0.16
PQ834331,PQ834331.fasta,159317,159.32,0.159
PQ834332,PQ834332.fasta,159570,159.57,0.16
PQ834333,PQ834333.fasta,159670,159.67,0.16
PQ834334,PQ834334.fasta,159737,159.74,0.16
PQ834335,PQ834335.fasta,159752,159.75,0.16
PQ834336,PQ834336.fasta,159495,159.5,0.159
PQ834337,PQ834337.fasta,159900,159.9,0.16
PQ834338,PQ834338.fasta,159480,159.48,0.159
PQ834339,PQ834339.fasta,159709,159.71,0.16
PQ834340,PQ834340.fasta,159720,159.72,0.16
PQ834341,PQ834341.fasta,159711,159.71,0.16
PQ834343,PQ834343.fasta,159570,159.57,0.16
PQ834344,PQ834344.fasta,159742,159.74,0.16
PQ834811,PQ834811.fasta,157191,157.19,0.157
PQ834813,PQ834813.fasta,169213,169.21,0.169
PQ834833,PQ834833.fasta,163887,163.89,0.164
PQ834960,PQ834960.fasta,154579,154.58,0.155
PQ835002,PQ835002.fasta,155661,155.66,0.156
PQ835010,PQ835010.fasta,155713,155.71,0.156
PQ835014,PQ835014.fasta,154890,154.89,0.155
PQ835017,PQ835017.fasta,155638,155.64,0.156
PQ835019,PQ835019.fasta,155662,155.66,0.156
PQ835022,PQ835022.fasta,154892,154.89,0.155
PQ835028,PQ835028.fasta,155614,155.61,0.156
PQ835030,PQ835030.fasta,155620,155.62,0.156
PQ835411,PQ835411.fasta,160390,160.39,0.16
PQ835412,PQ835412.fasta,160387,160.39,0.16
PQ835413,PQ835413.fasta,172781,172.78,0.173
PQ835415,PQ835415.fasta,166843,166.84,0.167
PQ835418,PQ835418.fasta,166936,166.94,0.167
PQ835423,PQ835423.fasta,172065,172.06,0.172
PQ835425,PQ835425.fasta,171807,171.81,0.172
PQ835429,PQ835429.fasta,169474,169.47,0.169
PQ835439,PQ835439.fasta,166815,166.81,0.167
PQ835442,PQ835442.fasta,166694,166.69,0.167
PQ835443,PQ835443.fasta,162492,162.49,0.162
PQ835452,PQ835452.fasta,167870,167.87,0.168
PQ838414,PQ838414.fasta,163327,163.33,0.163
PQ838415,PQ838415.fasta,164767,164.77,0.165
PQ838449,PQ838449.fasta,154286,154.29,0.154
PQ841432,PQ841432.fasta,161601,161.6,0.162
PQ842550,PQ842550.fasta,155688,155.69,0.156
PQ842552,PQ842552.fasta,155695,155.69,0.156
PQ842554,PQ842554.fasta,155689,155.69,0.156
PQ845753,PQ845753.fasta,154258,154.26,0.154
PQ846075,PQ846075.fasta,153483,153.48,0.153
PQ846489,PQ846489.fasta,147958,147.96,0.148
PQ846559,PQ846559.fasta,157100,157.1,0.157
PQ849573,PQ849573.fasta,157172,157.17,0.157
PQ850001,PQ850001.fasta,151052,151.05,0.151
PQ850004,PQ850004.fasta,151042,151.04,0.151
PQ850006,PQ850006.fasta,151031,151.03,0.151
PQ850009,PQ850009.fasta,151009,151.01,0.151
PQ850011,PQ850011.fasta,151045,151.04,0.151
PQ850012,PQ850012.fasta,151032,151.03,0.151
PQ850015,PQ850015.fasta,150988,150.99,0.151
PQ850016,PQ850016.fasta,151105,151.1,0.151
PQ850018,PQ850018.fasta,151125,151.12,0.151
PQ850019,PQ850019.fasta,151061,151.06,0.151
PQ851672,PQ851672.fasta,147853,147.85,0.148
PQ851683,PQ851683.fasta,160677,160.68,0.161
PQ851684,PQ851684.fasta,163979,163.98,0.164
PQ851685,PQ851685.fasta,166362,166.36,0.166
PQ851716,PQ851716.fasta,156225,156.22,0.156
PQ858234,PQ858234.fasta,164037,164.04,0.164
PQ858235,PQ858235.fasta,153731,153.73,0.154
PQ858236,PQ858236.fasta,161218,161.22,0.161
PQ858238,PQ858238.fasta,153962,153.96,0.154
PQ858239,PQ858239.fasta,160174,160.17,0.16
PQ858248,PQ858248.fasta,171190,171.19,0.171
PQ859556,PQ859556.fasta,159967,159.97,0.16
PQ859558,PQ859558.fasta,160070,160.07,0.16
PQ869153,PQ869153.fasta,158250,158.25,0.158
PQ869154,PQ869154.fasta,157009,157.01,0.157
PQ869155,PQ869155.fasta,158238,158.24,0.158
PQ869157,PQ869157.fasta,155926,155.93,0.156
PQ869158,PQ869158.fasta,161255,161.25,0.161
PQ869159,PQ869159.fasta,156020,156.02,0.156
PQ873013,PQ873013.fasta,156189,156.19,0.156
PQ874706,PQ874706.fasta,159670,159.67,0.16
PQ874707,PQ874707.fasta,159665,159.66,0.16
PQ874708,PQ874708.fasta,159505,159.5,0.16
PQ874709,PQ874709.fasta,159594,159.59,0.16
PQ874710,PQ874710.fasta,159577,159.58,0.16
PQ874711,PQ874711.fasta,159643,159.64,0.16
PQ874712,PQ874712.fasta,159557,159.56,0.16
PQ874713,PQ874713.fasta,159717,159.72,0.16
PQ874714,PQ874714.fasta,159599,159.6,0.16
PQ874715,PQ874715.fasta,159816,159.82,0.16
PQ874716,PQ874716.fasta,159649,159.65,0.16
PQ874718,PQ874718.fasta,159697,159.7,0.16
PQ874719,PQ874719.fasta,159535,159.53,0.16
PQ874720,PQ874720.fasta,159616,159.62,0.16
PQ874722,PQ874722.fasta,159321,159.32,0.159
PQ874723,PQ874723.fasta,159613,159.61,0.16
PQ874724,PQ874724.fasta,159777,159.78,0.16
PQ874725,PQ874725.fasta,159758,159.76,0.16
PQ874726,PQ874726.fasta,159483,159.48,0.159
PQ874727,PQ874727.fasta,159699,159.7,0.16
PQ874728,PQ874728.fasta,159509,159.51,0.16
PQ874729,PQ874729.fasta,159714,159.71,0.16
PQ874731,PQ874731.fasta,159746,159.75,0.16
PQ874732,PQ874732.fasta,159581,159.58,0.16
PQ874733,PQ874733.fasta,159546,159.55,0.16
PQ874734,PQ874734.fasta,159846,159.85,0.16
PQ874735,PQ874735.fasta,159719,159.72,0.16
PQ874736,PQ874736.fasta,159641,159.64,0.16
PQ874737,PQ874737.fasta,159601,159.6,0.16
PQ874738,PQ874738.fasta,159623,159.62,0.16
PQ874739,PQ874739.fasta,159733,159.73,0.16
PQ874740,PQ874740.fasta,159639,159.64,0.16
PQ874741,PQ874741.fasta,159536,159.54,0.16
PQ874742,PQ874742.fasta,159568,159.57,0.16
PQ874743,PQ874743.fasta,159520,159.52,0.16
PQ874744,PQ874744.fasta,159639,159.64,0.16
PQ874745,PQ874745.fasta,159744,159.74,0.16
PQ874746,PQ874746.fasta,159295,159.29,0.159
PQ874747,PQ874747.fasta,159660,159.66,0.16
PQ874748,PQ874748.fasta,159553,159.55,0.16
PQ874749,PQ874749.fasta,159636,159.64,0.16
PQ874751,PQ874751.fasta,159814,159.81,0.16
PQ874753,PQ874753.fasta,159624,159.62,0.16
PQ874754,PQ874754.fasta,159664,159.66,0.16
PQ874755,PQ874755.fasta,159657,159.66,0.16
PQ874756,PQ874756.fasta,159553,159.55,0.16
PQ874757,PQ874757.fasta,159735,159.74,0.16
PQ874758,PQ874758.fasta,159633,159.63,0.16
PQ874760,PQ874760.fasta,159623,159.62,0.16
PQ874761,PQ874761.fasta,159740,159.74,0.16
PQ874762,PQ874762.fasta,159609,159.61,0.16
PQ874763,PQ874763.fasta,159294,159.29,0.159
PQ874764,PQ874764.fasta,159608,159.61,0.16
PQ874765,PQ874765.fasta,159783,159.78,0.16
PQ874766,PQ874766.fasta,159682,159.68,0.16
PQ874767,PQ874767.fasta,159646,159.65,0.16
PQ874768,PQ874768.fasta,159301,159.3,0.159
PQ874769,PQ874769.fasta,159699,159.7,0.16
PQ874770,PQ874770.fasta,159543,159.54,0.16
PQ877658,PQ877658.fasta,152156,152.16,0.152
PQ877659,PQ877659.fasta,152273,152.27,0.152
PQ877660,PQ877660.fasta,152221,152.22,0.152
PQ877661,PQ877661.fasta,151840,151.84,0.152
PQ877662,PQ877662.fasta,151598,151.6,0.152
PQ877663,PQ877663.fasta,151589,151.59,0.152
PQ877664,PQ877664.fasta,151939,151.94,0.152
PQ877665,PQ877665.fasta,151789,151.79,0.152
PQ877686,PQ877686.fasta,150068,150.07,0.15
PQ878552,PQ878552.fasta,155020,155.02,0.155
PQ878626,PQ878626.fasta,152709,152.71,0.153
PQ891887,PQ891887.fasta,159068,159.07,0.159
PQ891888,PQ891888.fasta,160128,160.13,0.16
PQ891889,PQ891889.fasta,160283,160.28,0.16
PQ898998,PQ898998.fasta,154749,154.75,0.155
PQ899000,PQ899000.fasta,160430,160.43,0.16
PQ899002,PQ899002.fasta,160261,160.26,0.16
PQ899004,PQ899004.fasta,160517,160.52,0.161
PQ899220,PQ899220.fasta,158263,158.26,0.158
PQ899492,PQ899492.fasta,158400,158.4,0.158
PQ899493,PQ899493.fasta,158621,158.62,0.159
PQ899494,PQ899494.fasta,158275,158.28,0.158
PQ899495,PQ899495.fasta,158411,158.41,0.158
PQ899496,PQ899496.fasta,158536,158.54,0.159
PQ899497,PQ899497.fasta,158423,158.42,0.158
PQ899558,PQ899558.fasta,160280,160.28,0.16
PQ899559,PQ899559.fasta,159466,159.47,0.159
PQ899560,PQ899560.fasta,159466,159.47,0.159
PQ899562,PQ899562.fasta,160366,160.37,0.16
PQ899564,PQ899564.fasta,159794,159.79,0.16
PQ932579,PQ932579.fasta,151565,151.56,0.152
PQ963003,PQ963003.fasta,150896,150.9,0.151
PQ963024,PQ963024.fasta,159189,159.19,0.159
PQ963207,PQ963207.fasta,162150,162.15,0.162
